Year,Month,Day,Tmin,Tmax
2015,4,22,9.84,17.74
2015,4,23,9.67,17.57
2015,4,24,9.5,17.39
2015,4,25,10.16,18.04
2015,4,26,10.07,17.94
2015,4,27,10.47,18.32
2015,4,28,10.51,18.36
2015,4,29,11.19,19.02
2015,4,30,10.67,18.49
2015,5,1,10.51,18.32
2015,5,2,11.05,18.85
2015,5,3,11.19,18.97
2015,5,4,11.7,19.47
2015,5,5,11.63,19.39
2015,5,6,11.58,19.32
2015,5,7,12.08,19.81
2015,5,8,11.26,18.98
2015,5,9,11.57,19.26
2015,5,10,11.58,19.26
2015,5,11,11.87,19.54
2015,5,12,11.63,19.28
2015,5,13,12.44,20.07
2015,5,14,12.25,19.86
2015,5,15,11.91,19.51
2015,5,16,12.17,19.75
2015,5,17,12.73,20.29
2015,5,18,13.02,20.56
2015,5,19,13.52,21.04
2015,5,20,13.93,21.44
2015,5,21,13.15,20.63
2015,5,22,12.75,20.21
2015,5,23,12.44,19.88
2015,5,24,13.37,20.79
2015,5,25,13.07,20.48
2015,5,26,13.3,20.68
2015,5,27,13.31,20.67
2015,5,28,13.55,20.9
2015,5,29,14.05,21.37
2015,5,30,13.81,21.11
2015,5,31,13.78,21.05
2015,6,1,13.54,20.8
2015,6,2,13.39,20.62
2015,6,3,13.87,21.08
2015,6,4,14.09,21.28
2015,6,5,14.79,21.96
2015,6,6,14.28,21.42
2015,6,7,14.64,21.76
2015,6,8,14.18,21.27
2015,6,9,14.0,21.06
2015,6,10,14.13,21.17
2015,6,11,14.26,21.28
2015,6,12,15.31,22.31
2015,6,13,14.33,21.3
2015,6,14,14.95,21.9
2015,6,15,14.39,21.31
2015,6,16,15.07,21.97
2015,6,17,14.92,21.79
2015,6,18,14.76,21.61
2015,6,19,14.84,21.66
2015,6,20,14.65,21.45
2015,6,21,15.07,21.84
2015,6,22,14.78,21.53
2015,6,23,14.54,21.26
2015,6,24,14.54,21.24
2015,6,25,15.07,21.74
2015,6,26,15.58,22.23
2015,6,27,15.1,21.72
2015,6,28,15.02,21.61
2015,6,29,15.17,21.74
2015,6,30,15.53,22.08
2015,7,1,15.16,21.68
2015,7,2,14.94,21.44
2015,7,3,15.48,21.94
2015,7,4,15.24,21.68
2015,7,5,15.63,22.04
2015,7,6,15.15,21.53
2015,7,7,14.65,21.01
2015,7,8,14.59,20.92
2015,7,9,15.63,21.94
2015,7,10,15.64,21.93
2015,7,11,14.96,21.22
2015,7,12,14.87,21.11
2015,7,13,15.5,21.7
2015,7,14,14.57,20.76
2015,7,15,14.62,20.78
2015,7,16,15.13,21.27
2015,7,17,14.74,20.85
2015,7,18,14.84,20.93
2015,7,19,14.75,20.81
2015,7,20,14.89,20.93
2015,7,21,15.23,21.24
2015,7,22,14.73,20.71
2015,7,23,14.88,20.84
2015,7,24,13.89,19.82
2015,7,25,14.54,20.45
2015,7,26,14.21,20.1
2015,7,27,14.03,19.89
2015,7,28,14.09,19.94
2015,7,29,14.23,20.05
2015,7,30,14.61,20.4
2015,7,31,13.76,19.53
2015,8,1,14.17,19.92
2015,8,2,13.93,19.66
2015,8,3,13.92,19.62
2015,8,4,14.31,20.0
2015,8,5,14.08,19.74
2015,8,6,14.29,19.93
2015,8,7,13.69,19.31
2015,8,8,13.42,19.02
2015,8,9,13.51,19.09
2015,8,10,13.59,19.15
2015,8,11,13.49,19.03
2015,8,12,12.96,18.48
2015,8,13,13.29,18.79
2015,8,14,13.25,18.73
2015,8,15,13.96,19.42
2015,8,16,13.64,19.09
2015,8,17,12.6,18.02
2015,8,18,12.7,18.11
2015,8,19,12.19,17.58
2015,8,20,12.4,17.77
2015,8,21,12.62,17.97
2015,8,22,12.83,18.17
2015,8,23,12.05,17.37
2015,8,24,11.97,17.28
2015,8,25,11.34,16.64
2015,8,26,11.93,17.21
2015,8,27,11.51,16.77
2015,8,28,11.59,16.83
2015,8,29,11.35,16.59
2015,8,30,11.51,16.74
2015,8,31,10.82,16.03
2015,9,1,10.81,16.0
2015,9,2,11.95,17.13
2015,9,3,10.64,15.81
2015,9,4,10.58,15.74
2015,9,5,11.49,16.64
2015,9,6,11.75,16.88
2015,9,7,10.2,15.32
2015,9,8,10.36,15.47
2015,9,9,10.48,15.59
2015,9,10,10.84,15.94
2015,9,11,9.77,14.85
2015,9,12,9.9,14.98
2015,9,13,10.13,15.2
2015,9,14,9.88,14.95
2015,9,15,9.47,14.53
2015,9,16,9.43,14.48
2015,9,17,8.86,13.91
2015,9,18,9.13,14.17
2015,9,19,8.99,14.02
2015,9,20,9.03,14.06
2015,9,21,8.63,13.65
2015,9,22,8.85,13.87
2015,9,23,8.91,13.92
2015,9,24,8.48,13.49
2015,9,25,8.41,13.42
2015,9,26,8.17,13.18
2015,9,27,8.02,13.02
2015,9,28,7.63,12.64
2015,9,29,7.86,12.86
2015,9,30,7.58,12.58
2015,10,1,8.21,13.21
2015,10,2,7.9,12.9
2015,10,3,7.35,12.35
2015,10,4,6.81,11.81
2015,10,5,6.55,11.56
2015,10,6,7.22,12.23
2015,10,7,6.77,11.77
2015,10,8,6.71,11.72
2015,10,9,5.79,10.81
2015,10,10,6.6,11.61
2015,10,11,6.3,11.32
2015,10,12,5.62,10.64
2015,10,13,5.71,10.74
2015,10,14,5.83,10.87
2015,10,15,5.62,10.67
2015,10,16,5.37,10.42
2015,10,17,5.31,10.36
2015,10,18,5.12,10.19
2015,10,19,5.14,10.21
2015,10,20,5.47,10.55
2015,10,21,3.93,9.02
2015,10,22,4.61,9.71
2015,10,23,4.63,9.74
2015,10,24,4.55,9.66
2015,10,25,4.19,9.31
2015,10,26,3.58,8.72
2015,10,27,4.18,9.33
2015,10,28,4.55,9.71
2015,10,29,3.29,8.46
2015,10,30,4.01,9.19
2015,10,31,3.47,8.67
2015,11,1,3.44,8.65
2015,11,2,2.98,8.2
2015,11,3,3.11,8.35
2015,11,4,3.57,8.82
2015,11,5,3.21,8.47
2015,11,6,3.5,8.78
2015,11,7,3.19,8.48
2015,11,8,2.82,8.13
2015,11,9,3.17,8.5
2015,11,10,2.61,7.95
2015,11,11,2.64,7.99
2015,11,12,2.14,7.51
2015,11,13,2.16,7.55
2015,11,14,1.79,7.2
2015,11,15,2.28,7.71
2015,11,16,1.43,6.87
2015,11,17,2.02,7.48
2015,11,18,1.58,7.06
2015,11,19,1.96,7.47
2015,11,20,1.72,7.25
2015,11,21,2.01,7.55
2015,11,22,1.54,7.1
2015,11,23,0.65,6.23
2015,11,24,1.09,6.69
2015,11,25,0.62,6.24
2015,11,26,0.77,6.41
2015,11,27,1.4,7.06
2015,11,28,1.01,6.7
2015,11,29,0.47,6.18
2015,11,30,0.29,6.02
2015,12,1,0.58,6.34
2015,12,2,0.07,5.85
2015,12,3,0.2,6.0
2015,12,4,0.48,6.3
2015,12,5,0.71,6.55
2015,12,6,0.45,6.32
2015,12,7,-0.62,5.27
2015,12,8,0.23,6.15
2015,12,9,0.09,6.03
2015,12,10,0.16,6.13
2015,12,11,0.53,6.52
2015,12,12,-0.81,5.21
2015,12,13,-0.34,5.7
2015,12,14,0.03,6.09
2015,12,15,-0.77,5.32
2015,12,16,0.26,6.37
2015,12,17,-0.17,5.97
2015,12,18,-0.03,6.13
2015,12,19,-0.56,5.62
2015,12,20,-0.11,6.1
2015,12,21,-0.05,6.19
2015,12,22,-0.37,5.89
2015,12,23,-0.39,5.9
2015,12,24,-0.4,5.91
2015,12,25,-0.82,5.52
2015,12,26,-0.59,5.78
2015,12,27,-0.6,5.79
2015,12,28,-0.43,5.99
2015,12,29,-0.22,6.22
2015,12,30,-0.95,5.52
2015,12,31,-0.63,5.86
2016,1,1,0.01,6.53
2016,1,2,-0.77,5.78
2016,1,3,-0.8,5.78
2016,1,4,-0.43,6.17
2016,1,5,-0.2,6.43
2016,1,6,-0.49,6.17
2016,1,7,-0.01,6.67
2016,1,8,-0.17,6.54
2016,1,9,-0.16,6.58
2016,1,10,-0.24,6.52
2016,1,11,0.4,7.18
2016,1,12,-0.46,6.35
2016,1,13,-1.07,5.77
2016,1,14,0.22,7.08
2016,1,15,-0.47,6.41
2016,1,16,-0.24,6.67
2016,1,17,0.21,7.15
2016,1,18,-0.77,6.19
2016,1,19,-0.61,6.37
2016,1,20,-0.69,6.32
2016,1,21,-0.36,6.67
2016,1,22,0.11,7.17
2016,1,23,0.19,7.27
2016,1,24,0.15,7.25
2016,1,25,-0.39,6.74
2016,1,26,-0.65,6.5
2016,1,27,0.23,7.41
2016,1,28,0.11,7.3
2016,1,29,0.49,7.71
2016,1,30,0.64,7.88
2016,1,31,0.51,7.77
2016,2,1,0.79,8.08
2016,2,2,0.67,7.98
2016,2,3,0.85,8.18
2016,2,4,0.49,7.84
2016,2,5,0.75,8.12
2016,2,6,0.95,8.34
2016,2,7,1.25,8.66
2016,2,8,0.9,8.34
2016,2,9,1.31,8.76
2016,2,10,1.11,8.59
2016,2,11,1.25,8.74
2016,2,12,1.67,9.18
2016,2,13,0.77,8.3
2016,2,14,1.1,8.65
2016,2,15,1.13,8.7
2016,2,16,0.93,8.51
2016,2,17,1.6,9.2
2016,2,18,2.2,9.82
2016,2,19,1.94,9.57
2016,2,20,2.2,9.86
2016,2,21,2.62,10.29
2016,2,22,2.8,10.49
2016,2,23,2.42,10.12
2016,2,24,3.03,10.74
2016,2,25,2.69,10.42
2016,2,26,2.47,10.22
2016,2,27,2.67,10.43
2016,2,28,2.47,10.25
2016,2,29,2.79,10.58
2016,3,1,3.09,10.89
2016,3,2,3.61,11.43
2016,3,3,4.05,11.88
2016,3,4,3.08,10.92
2016,3,5,3.82,11.67
2016,3,6,3.44,11.3
2016,3,7,4.09,11.96
2016,3,8,4.0,11.88
2016,3,9,3.53,11.42
2016,3,10,4.62,12.52
2016,3,11,4.21,12.12
2016,3,12,4.36,12.28
2016,3,13,4.3,12.22
2016,3,14,4.57,12.51
2016,3,15,5.08,13.02
2016,3,16,4.99,12.94
2016,3,17,5.3,13.26
2016,3,18,5.44,13.4
2016,3,19,5.91,13.88
2016,3,20,5.46,13.43
2016,3,21,5.19,13.17
2016,3,22,6.22,14.2
2016,3,23,5.86,13.84
2016,3,24,6.5,14.49
2016,3,25,6.38,14.37
2016,3,26,6.33,14.32
2016,3,27,6.63,14.63
2016,3,28,7.33,15.32
2016,3,29,7.5,15.5
2016,3,30,6.94,14.94
2016,3,31,7.1,15.1
2016,4,1,7.56,15.56
2016,4,2,7.02,15.02
2016,4,3,7.57,15.57
2016,4,4,7.58,15.57
2016,4,5,7.83,15.83
2016,4,6,7.56,15.56
2016,4,7,7.43,15.42
2016,4,8,7.4,15.39
2016,4,9,7.87,15.85
2016,4,10,8.23,16.21
2016,4,11,8.42,16.4
2016,4,12,9.34,17.31
2016,4,13,9.18,17.14
2016,4,14,8.59,16.55
2016,4,15,9.18,17.13
2016,4,16,9.05,16.99
2016,4,17,9.22,17.16
2016,4,18,9.51,17.44
2016,4,19,9.79,17.72
2016,4,20,9.59,17.5
2016,4,21,10.21,18.11
2016,4,22,9.56,17.46
2016,4,23,10.09,17.98
2016,4,24,11.12,19.0
2016,4,25,10.42,18.28
2016,4,26,10.97,18.82
2016,4,27,10.62,18.46
2016,4,28,10.91,18.75
2016,4,29,10.81,18.63
2016,4,30,10.89,18.7
2016,5,1,10.8,18.59
2016,5,2,11.34,19.12
2016,5,3,11.01,18.78
2016,5,4,11.65,19.41
2016,5,5,11.91,19.66
2016,5,6,11.78,19.5
2016,5,7,11.66,19.37
2016,5,8,12.03,19.73
2016,5,9,11.87,19.55
2016,5,10,12.42,20.08
2016,5,11,11.55,19.2
2016,5,12,12.18,19.81
2016,5,13,11.71,19.32
2016,5,14,11.98,19.58
2016,5,15,13.08,20.66
2016,5,16,13.02,20.58
2016,5,17,12.55,20.09
2016,5,18,12.37,19.9
2016,5,19,11.95,19.46
2016,5,20,12.89,20.38
2016,5,21,14.02,21.49
2016,5,22,13.42,20.86
2016,5,23,13.16,20.58
2016,5,24,13.6,21.0
2016,5,25,12.97,20.36
2016,5,26,13.5,20.86
2016,5,27,13.72,21.06
2016,5,28,13.73,21.05
2016,5,29,14.11,21.41
2016,5,30,14.03,21.31
2016,5,31,14.22,21.47
2016,6,1,13.81,21.04
2016,6,2,14.44,21.65
2016,6,3,14.76,21.95
2016,6,4,13.91,21.08
2016,6,5,14.0,21.14
2016,6,6,14.84,21.96
2016,6,7,14.37,21.46
2016,6,8,14.98,22.05
2016,6,9,14.39,21.43
2016,6,10,15.1,22.13
2016,6,11,14.69,21.69
2016,6,12,14.78,21.76
2016,6,13,15.29,22.23
2016,6,14,14.65,21.58
2016,6,15,14.49,21.39
2016,6,16,14.7,21.58
2016,6,17,15.06,21.9
2016,6,18,14.38,21.21
2016,6,19,15.19,21.98
2016,6,20,14.8,21.58
2016,6,21,15.42,22.17
2016,6,22,14.21,20.93
2016,6,23,14.79,21.49
2016,6,24,14.5,21.17
2016,6,25,14.82,21.46
2016,6,26,15.21,21.83
2016,6,27,15.07,21.67
2016,6,28,15.06,21.63
2016,6,29,15.1,21.64
2016,6,30,15.24,21.75
2016,7,1,14.82,21.31
2016,7,2,15.42,21.88
2016,7,3,15.4,21.84
2016,7,4,15.3,21.72
2016,7,5,15.36,21.75
2016,7,6,15.26,21.62
2016,7,7,15.86,22.19
2016,7,8,15.1,21.41
2016,7,9,15.01,21.3
2016,7,10,14.84,21.1
2016,7,11,14.72,20.96
2016,7,12,14.63,20.84
2016,7,13,14.73,20.91
2016,7,14,14.99,21.15
2016,7,15,15.1,21.24
2016,7,16,14.98,21.08
2016,7,17,14.66,20.74
2016,7,18,15.21,21.26
2016,7,19,15.11,21.15
2016,7,20,14.76,20.77
2016,7,21,14.55,20.53
2016,7,22,14.92,20.88
2016,7,23,14.75,20.69
2016,7,24,14.13,20.04
2016,7,25,14.56,20.45
2016,7,26,14.63,20.49
2016,7,27,14.17,20.01
2016,7,28,14.49,20.31
2016,7,29,13.86,19.65
2016,7,30,14.77,20.55
2016,7,31,14.68,20.43
2016,8,1,14.09,19.82
2016,8,2,14.24,19.94
2016,8,3,13.2,18.88
2016,8,4,13.57,19.23
2016,8,5,13.8,19.44
2016,8,6,13.45,19.07
2016,8,7,14.0,19.6
2016,8,8,14.37,19.95
2016,8,9,13.18,18.74
2016,8,10,13.21,18.75
2016,8,11,13.5,19.02
2016,8,12,13.9,19.4
2016,8,13,12.82,18.3
2016,8,14,13.25,18.71
2016,8,15,13.71,19.15
2016,8,16,12.4,17.82
2016,8,17,12.43,17.84
2016,8,18,12.64,18.03
2016,8,19,12.5,17.88
2016,8,20,12.87,18.23
2016,8,21,12.57,17.91
2016,8,22,11.76,17.09
2016,8,23,12.46,17.77
2016,8,24,11.97,17.27
2016,8,25,12.51,17.79
2016,8,26,11.74,17.0
2016,8,27,11.63,16.88
2016,8,28,11.93,17.16
2016,8,29,11.89,17.12
2016,8,30,11.67,16.88
2016,8,31,10.81,16.0
2016,9,1,11.47,16.65
2016,9,2,10.8,15.97
2016,9,3,11.13,16.29
2016,9,4,10.43,15.58
2016,9,5,10.96,16.1
2016,9,6,10.41,15.53
2016,9,7,10.12,15.23
2016,9,8,10.69,15.8
2016,9,9,10.4,15.5
2016,9,10,9.98,15.06
2016,9,11,10.57,15.65
2016,9,12,9.79,14.86
2016,9,13,9.82,14.89
2016,9,14,9.78,14.83
2016,9,15,9.34,14.39
2016,9,16,9.59,14.63
2016,9,17,9.11,14.14
2016,9,18,9.02,14.05
2016,9,19,9.51,14.54
2016,9,20,8.54,13.56
2016,9,21,7.92,12.94
2016,9,22,9.2,14.21
2016,9,23,9.39,14.4
2016,9,24,8.23,13.23
2016,9,25,7.56,12.56
2016,9,26,7.99,13.0
2016,9,27,7.87,12.87
2016,9,28,7.77,12.77
2016,9,29,7.31,12.31
2016,9,30,7.77,12.77
2016,10,1,7.61,12.61
2016,10,2,6.77,11.77
2016,10,3,7.4,12.4
2016,10,4,7.74,12.74
2016,10,5,6.95,11.95
2016,10,6,6.64,11.64
2016,10,7,6.57,11.58
2016,10,8,6.7,11.71
2016,10,9,5.75,10.76
2016,10,10,6.27,11.3
2016,10,11,5.95,10.97
2016,10,12,6.6,11.63
2016,10,13,5.76,10.79
2016,10,14,6.27,11.31
2016,10,15,5.17,10.22
2016,10,16,5.63,10.69
2016,10,17,5.4,10.47
2016,10,18,4.86,9.93
2016,10,19,5.1,10.18
2016,10,20,5.33,10.42
2016,10,21,4.66,9.76
2016,10,22,4.06,9.16
2016,10,23,4.52,9.63
2016,10,24,4.08,9.21
2016,10,25,4.15,9.29
2016,10,26,4.12,9.27
2016,10,27,3.43,8.59
2016,10,28,3.34,8.51
2016,10,29,3.95,9.14
2016,10,30,3.48,8.68
2016,10,31,2.65,7.86
2016,11,1,3.7,8.93
2016,11,2,3.41,8.64
2016,11,3,2.95,8.2
2016,11,4,2.62,7.89
2016,11,5,3.26,8.54
2016,11,6,2.98,8.28
2016,11,7,3.58,8.89
2016,11,8,2.79,8.11
2016,11,9,2.67,8.01
2016,11,10,2.37,7.73
2016,11,11,2.61,7.98
2016,11,12,2.44,7.83
2016,11,13,2.55,7.97
2016,11,14,1.83,7.26
2016,11,15,1.77,7.21
2016,11,16,1.65,7.12
2016,11,17,2.0,7.49
2016,11,18,2.16,7.66
2016,11,19,1.38,6.9
2016,11,20,1.3,6.84
2016,11,21,1.47,7.03
2016,11,22,1.19,6.77
2016,11,23,1.52,7.13
2016,11,24,0.32,5.94
2016,11,25,0.74,6.38
2016,11,26,0.67,6.34
2016,11,27,0.06,5.75
2016,11,28,0.46,6.17
2016,11,29,0.4,6.13
2016,11,30,0.58,6.33
2016,12,1,0.97,6.75
2016,12,2,0.43,6.23
2016,12,3,0.09,5.91
2016,12,4,0.36,6.21
2016,12,5,0.69,6.56
2016,12,6,-0.08,5.81
2016,12,7,-0.11,5.8
2016,12,8,0.35,6.28
2016,12,9,0.02,5.98
2016,12,10,0.27,6.26
2016,12,11,-0.01,6.0
2016,12,12,0.2,6.23
2016,12,13,-0.46,5.6
2016,12,14,-0.14,5.95
2016,12,15,-0.25,5.86
2016,12,16,-0.64,5.5
2016,12,17,-0.8,5.36
2016,12,18,-0.04,6.14
2016,12,19,-0.44,5.77
2016,12,20,-0.7,5.54
2016,12,21,-0.4,5.86
2016,12,22,0.0,6.29
2016,12,23,-1.21,5.1
2016,12,24,-0.96,5.38
2016,12,25,-0.78,5.59
2016,12,26,0.04,6.43
2016,12,27,-0.38,6.03
2016,12,28,-0.22,6.22
2016,12,29,-0.9,5.57
2016,12,30,-0.9,5.6
2016,12,31,-0.35,6.17
2017,1,1,-0.41,6.12
2017,1,2,-0.24,6.31
2017,1,3,-0.5,6.08
2017,1,4,-0.33,6.28
2017,1,5,-0.36,6.27
2017,1,6,-0.14,6.52
2017,1,7,-0.12,6.56
2017,1,8,-0.95,5.75
2017,1,9,-1.16,5.57
2017,1,10,-0.0,6.75
2017,1,11,0.08,6.87
2017,1,12,-0.67,6.14
2017,1,13,-0.94,5.9
2017,1,14,-0.22,6.63
2017,1,15,0.1,6.98
2017,1,16,0.43,7.34
2017,1,17,0.02,6.95
2017,1,18,-0.26,6.7
2017,1,19,-0.4,6.58
2017,1,20,-0.05,6.96
2017,1,21,-0.11,6.92
2017,1,22,-0.32,6.74
2017,1,23,0.8,7.88
2017,1,24,0.76,7.86
2017,1,25,0.58,7.71
2017,1,26,-0.08,7.07
2017,1,27,0.59,7.77
2017,1,28,0.58,7.77
2017,1,29,0.57,7.79
2017,1,30,0.91,8.15
2017,1,31,0.76,8.02
2017,2,1,0.86,8.15
2017,2,2,0.9,8.2
2017,2,3,0.86,8.19
2017,2,4,0.19,7.54
2017,2,5,0.92,8.29
2017,2,6,0.77,8.16
2017,2,7,0.59,8.01
2017,2,8,1.71,9.14
2017,2,9,1.81,9.26
2017,2,10,1.76,9.23
2017,2,11,1.46,8.95
2017,2,12,1.93,9.44
2017,2,13,1.55,9.08
2017,2,14,1.71,9.26
2017,2,15,1.35,8.91
2017,2,16,1.96,9.55
2017,2,17,1.94,9.54
2017,2,18,1.56,9.18
2017,2,19,2.1,9.73
2017,2,20,2.19,9.84
2017,2,21,2.95,10.62
2017,2,22,2.73,10.42
2017,2,23,2.53,10.23
2017,2,24,2.72,10.44
2017,2,25,2.75,10.49
2017,2,26,2.78,10.52
2017,2,27,2.58,10.34
2017,2,28,3.02,10.79
2017,3,1,2.92,10.71
2017,3,2,2.86,10.66
2017,3,3,3.59,11.4
2017,3,4,3.67,11.49
2017,3,5,3.02,10.86
2017,3,6,3.72,11.57
2017,3,7,4.23,12.09
2017,3,8,4.38,12.25
2017,3,9,4.49,12.37
2017,3,10,4.27,12.16
2017,3,11,4.08,11.98
2017,3,12,4.12,12.03
2017,3,13,4.75,12.67
2017,3,14,4.89,12.81
2017,3,15,5.33,13.26
2017,3,16,5.39,13.33
2017,3,17,5.09,13.04
2017,3,18,4.83,12.79
2017,3,19,5.28,13.25
2017,3,20,5.6,13.57
2017,3,21,5.59,13.56
2017,3,22,5.59,13.56
2017,3,23,6.01,13.99
2017,3,24,5.88,13.86
2017,3,25,5.97,13.96
2017,3,26,6.43,14.42
2017,3,27,6.31,14.31
2017,3,28,6.67,14.67
2017,3,29,6.82,14.82
2017,3,30,6.46,14.46
2017,3,31,6.82,14.82
2017,4,1,7.63,15.63
2017,4,2,6.86,14.86
2017,4,3,6.66,14.66
2017,4,4,6.88,14.88
2017,4,5,7.68,15.67
2017,4,6,7.81,15.81
2017,4,7,7.89,15.89
2017,4,8,8.5,16.49
2017,4,9,7.27,15.26
2017,4,10,8.48,16.46
2017,4,11,9.02,17.0
2017,4,12,8.21,16.19
2017,4,13,8.61,16.58
2017,4,14,8.61,16.57
2017,4,15,8.69,16.65
2017,4,16,9.02,16.97
2017,4,17,9.77,17.71
2017,4,18,10.04,17.98
2017,4,19,9.41,17.34
2017,4,20,10.32,18.25
2017,4,21,9.8,17.71
2017,4,22,10.53,18.43
2017,4,23,10.01,17.91
2017,4,24,10.22,18.1
2017,4,25,10.42,18.3
2017,4,26,11.53,19.4
2017,4,27,10.84,18.7
2017,4,28,10.42,18.26
2017,4,29,11.13,18.96
2017,4,30,10.78,18.61
2017,5,1,10.86,18.67
2017,5,2,11.47,19.26
2017,5,3,11.28,19.06
2017,5,4,11.48,19.25
2017,5,5,11.51,19.26
2017,5,6,11.73,19.47
2017,5,7,11.88,19.6
2017,5,8,11.16,18.87
2017,5,9,12.18,19.88
2017,5,10,11.72,19.4
2017,5,11,11.66,19.33
2017,5,12,12.25,19.9
2017,5,13,12.41,20.04
2017,5,14,12.24,19.85
2017,5,15,12.88,20.47
2017,5,16,12.22,19.79
2017,5,17,12.64,20.2
2017,5,18,12.68,20.22
2017,5,19,12.96,20.48
2017,5,20,13.17,20.67
2017,5,21,12.81,20.3
2017,5,22,13.51,20.97
2017,5,23,13.37,20.81
2017,5,24,12.77,20.19
2017,5,25,12.83,20.24
2017,5,26,13.6,20.98
2017,5,27,13.61,20.97
2017,5,28,13.73,21.07
2017,5,29,13.83,21.15
2017,5,30,14.0,21.29
2017,5,31,14.32,21.6
2017,6,1,13.67,20.93
2017,6,2,13.72,20.96
2017,6,3,13.82,21.03
2017,6,4,14.37,21.56
2017,6,5,14.77,21.93
2017,6,6,14.24,21.38
2017,6,7,13.58,20.7
2017,6,8,13.92,21.01
2017,6,9,14.28,21.35
2017,6,10,14.43,21.47
2017,6,11,14.53,21.55
2017,6,12,14.74,21.74
2017,6,13,14.66,21.64
2017,6,14,15.19,22.13
2017,6,15,14.62,21.55
2017,6,16,14.6,21.5
2017,6,17,15.11,21.98
2017,6,18,14.44,21.29
2017,6,19,15.15,21.97
2017,6,20,15.08,21.88
2017,6,21,15.02,21.79
2017,6,22,15.66,22.4
2017,6,23,14.91,21.63
2017,6,24,15.87,22.57
2017,6,25,15.09,21.76
2017,6,26,14.74,21.39
2017,6,27,15.23,21.85
2017,6,28,14.84,21.43
2017,6,29,14.97,21.53
2017,6,30,15.38,21.92
2017,7,1,15.44,21.95
2017,7,2,15.03,21.52
2017,7,3,15.6,22.06
2017,7,4,15.66,22.09
2017,7,5,15.75,22.16
2017,7,6,15.43,21.82
2017,7,7,15.71,22.07
2017,7,8,14.57,20.9
2017,7,9,15.1,21.41
2017,7,10,14.9,21.18
2017,7,11,15.23,21.49
2017,7,12,14.97,21.2
